arm,run,method,data,response,concurrency,alloc,rps,p50us,p95us
base,1,engine_getPayloadV5,0.0,1451.0,1.0,12766.0,4333.2,220.3,278.2
base,1,engine_getPayloadV5,0.0,1451.0,8.0,12900.0,26388.4,236.7,417.0
base,1,engine_getPayloadV5,7200.0,15859.0,1.0,56040.0,3474.1,275.0,401.5
base,1,engine_getPayloadV5,7200.0,15859.0,8.0,56160.0,19579.9,286.5,1184.1
base,1,engine_getPayloadV5,8200.0,17859.0,1.0,62000.0,3497.7,269.0,354.7
base,1,engine_getPayloadV5,8200.0,17859.0,8.0,62196.0,17563.6,307.1,1586.5
base,1,engine_getPayloadV5,131072.0,263607.0,1.0,804064.0,1189.6,732.4,1389.8
base,1,engine_getPayloadV5,131072.0,263607.0,8.0,805089.0,4525.0,1245.8,4048.0
base,1,engine_getPayloadV6,0.0,1492.0,1.0,12887.0,3673.4,238.8,397.5
base,1,engine_getPayloadV6,0.0,1492.0,8.0,12996.0,26552.4,239.4,367.9
base,1,engine_getPayloadV6,7200.0,15900.0,1.0,56135.0,3349.3,287.8,377.1
base,1,engine_getPayloadV6,7200.0,15900.0,8.0,56257.0,18314.2,285.9,1401.2
base,1,engine_getPayloadV6,8200.0,17900.0,1.0,62121.0,3243.1,287.9,390.8
base,1,engine_getPayloadV6,8200.0,17900.0,8.0,62249.0,17813.8,316.8,1249.2
base,1,engine_getPayloadV6,131072.0,263648.0,1.0,803844.0,1107.3,813.6,1434.6
base,1,engine_getPayloadV6,131072.0,263648.0,8.0,804255.0,4843.3,1203.4,3721.0
base,1,engine_getBlobsV2,0.0,36.0,1.0,8409.0,4781.7,194.4,262.3
base,1,engine_getBlobsV2,0.0,36.0,8.0,8517.0,29913.3,208.1,364.6
base,1,engine_getBlobsV2,131072.0,262205.0,1.0,799299.0,1258.7,709.6,1310.4
base,1,engine_getBlobsV2,131072.0,262205.0,8.0,799646.0,4708.7,1183.5,3977.5
base,1,engine_getPayloadBodiesByHashV1,0.0,140.0,1.0,9529.0,4724.9,200.0,264.0
base,1,engine_getPayloadBodiesByHashV1,0.0,140.0,8.0,9639.0,27350.5,219.3,449.1
base,1,engine_getPayloadBodiesByHashV1,7200.0,14548.0,1.0,52782.0,3400.3,277.7,433.3
base,1,engine_getPayloadBodiesByHashV1,7200.0,14548.0,8.0,52913.0,18542.1,290.7,1208.6
base,1,engine_getPayloadBodiesByHashV1,8200.0,16548.0,1.0,58769.0,2844.7,337.0,450.7
base,1,engine_getPayloadBodiesByHashV1,8200.0,16548.0,8.0,58903.0,17518.5,319.1,922.4
base,1,engine_getPayloadBodiesByHashV1,131072.0,262296.0,1.0,800563.0,1118.8,765.0,1547.7
base,1,engine_getPayloadBodiesByHashV1,131072.0,262296.0,8.0,800785.0,3912.0,1511.3,5028.3
base,2,engine_getPayloadV5,0.0,1451.0,1.0,12786.0,4456.7,212.3,272.0
base,2,engine_getPayloadV5,0.0,1451.0,8.0,12899.0,29388.6,225.6,303.4
base,2,engine_getPayloadV5,7200.0,15859.0,1.0,56014.0,3969.3,241.9,304.5
base,2,engine_getPayloadV5,7200.0,15859.0,8.0,56144.0,20344.8,280.3,970.9
base,2,engine_getPayloadV5,8200.0,17859.0,1.0,62004.0,3549.4,267.0,357.8
base,2,engine_getPayloadV5,8200.0,17859.0,8.0,62159.0,19196.0,292.4,1560.1
base,2,engine_getPayloadV5,131072.0,263607.0,1.0,804081.0,1268.8,691.8,1261.2
base,2,engine_getPayloadV5,131072.0,263607.0,8.0,805333.0,4797.0,1255.0,3593.9
base,2,engine_getPayloadV6,0.0,1492.0,1.0,12885.0,4500.4,204.7,270.5
base,2,engine_getPayloadV6,0.0,1492.0,8.0,12996.0,27948.9,226.6,364.5
base,2,engine_getPayloadV6,7200.0,15900.0,1.0,56134.0,4132.9,229.5,306.8
base,2,engine_getPayloadV6,7200.0,15900.0,8.0,56256.0,19818.6,284.4,1265.5
base,2,engine_getPayloadV6,8200.0,17900.0,1.0,62118.0,3986.4,237.2,299.1
base,2,engine_getPayloadV6,8200.0,17900.0,8.0,62246.0,18854.8,290.1,1287.8
base,2,engine_getPayloadV6,131072.0,263648.0,1.0,804093.0,799.4,1121.7,2441.8
base,2,engine_getPayloadV6,131072.0,263648.0,8.0,804281.0,4213.8,1456.3,4634.9
base,2,engine_getBlobsV2,0.0,36.0,1.0,8409.0,5087.1,185.1,257.1
base,2,engine_getBlobsV2,0.0,36.0,8.0,8518.0,34303.6,190.4,260.7
base,2,engine_getBlobsV2,131072.0,262205.0,1.0,799175.0,1338.8,671.0,1048.7
base,2,engine_getBlobsV2,131072.0,262205.0,8.0,799535.0,4480.8,1347.7,4569.1
base,2,engine_getPayloadBodiesByHashV1,0.0,140.0,1.0,9530.0,4890.3,198.7,265.1
base,2,engine_getPayloadBodiesByHashV1,0.0,140.0,8.0,9640.0,29527.5,215.2,329.7
base,2,engine_getPayloadBodiesByHashV1,7200.0,14548.0,1.0,52782.0,4121.0,228.4,289.0
base,2,engine_getPayloadBodiesByHashV1,7200.0,14548.0,8.0,52911.0,19971.5,275.6,1195.7
base,2,engine_getPayloadBodiesByHashV1,8200.0,16548.0,1.0,58768.0,4014.3,231.7,308.1
base,2,engine_getPayloadBodiesByHashV1,8200.0,16548.0,8.0,58898.0,17890.8,290.4,1782.9
base,2,engine_getPayloadBodiesByHashV1,131072.0,262296.0,1.0,800322.0,1203.9,742.1,1356.0
base,2,engine_getPayloadBodiesByHashV1,131072.0,262296.0,8.0,800570.0,4541.4,1306.5,4212.6
submitted,1,engine_getPayloadV5,0.0,1451.0,1.0,13242.0,4331.7,214.3,301.1
submitted,1,engine_getPayloadV5,0.0,1451.0,8.0,13487.0,26204.7,239.7,431.6
submitted,1,engine_getPayloadV5,7200.0,15859.0,1.0,56446.0,3038.0,301.0,495.2
submitted,1,engine_getPayloadV5,7200.0,15859.0,8.0,56588.0,18954.9,300.1,940.4
submitted,1,engine_getPayloadV5,8200.0,17859.0,1.0,62460.0,2994.8,305.9,436.9
submitted,1,engine_getPayloadV5,8200.0,17859.0,8.0,62639.0,17682.9,313.9,1451.6
submitted,1,engine_getPayloadV5,131072.0,263607.0,1.0,804659.0,1152.1,754.0,1450.3
submitted,1,engine_getPayloadV5,131072.0,263607.0,8.0,805643.0,4512.7,1259.9,4131.7
submitted,1,engine_getPayloadV6,0.0,1492.0,1.0,13342.0,4292.5,222.1,285.9
submitted,1,engine_getPayloadV6,0.0,1492.0,8.0,13452.0,26302.7,232.3,448.4
submitted,1,engine_getPayloadV6,7200.0,15900.0,1.0,56566.0,3848.5,247.2,319.8
submitted,1,engine_getPayloadV6,7200.0,15900.0,8.0,56695.0,19213.0,283.4,1358.0
submitted,1,engine_getPayloadV6,8200.0,17900.0,1.0,62577.0,3696.9,254.9,322.1
submitted,1,engine_getPayloadV6,8200.0,17900.0,8.0,62705.0,16864.7,304.5,1884.7
submitted,1,engine_getPayloadV6,131072.0,263648.0,1.0,804862.0,1163.5,713.7,1429.0
submitted,1,engine_getPayloadV6,131072.0,263648.0,8.0,805341.0,3769.1,1398.3,5352.3
submitted,1,engine_getBlobsV2,0.0,36.0,1.0,8865.0,4116.7,232.0,312.3
submitted,1,engine_getBlobsV2,0.0,36.0,8.0,8974.0,30496.5,206.2,351.5
submitted,1,engine_getBlobsV2,131072.0,262205.0,1.0,799929.0,1238.6,717.7,1364.9
submitted,1,engine_getBlobsV2,131072.0,262205.0,8.0,800188.0,5419.3,1087.1,3363.4
submitted,1,engine_getPayloadBodiesByHashV1,0.0,140.0,1.0,9986.0,4842.3,201.3,261.3
submitted,1,engine_getPayloadBodiesByHashV1,0.0,140.0,8.0,10095.0,27831.4,223.1,418.7
submitted,1,engine_getPayloadBodiesByHashV1,7200.0,14548.0,1.0,53215.0,4110.5,233.0,296.6
submitted,1,engine_getPayloadBodiesByHashV1,7200.0,14548.0,8.0,53347.0,18691.4,284.8,1451.8
submitted,1,engine_getPayloadBodiesByHashV1,8200.0,16548.0,1.0,59225.0,3620.1,257.0,333.0
submitted,1,engine_getPayloadBodiesByHashV1,8200.0,16548.0,8.0,59353.0,17704.3,300.6,1668.6
submitted,1,engine_getPayloadBodiesByHashV1,131072.0,262296.0,1.0,800946.0,1201.8,736.1,1302.4
submitted,1,engine_getPayloadBodiesByHashV1,131072.0,262296.0,8.0,801273.0,4801.3,1171.7,4002.8
submitted,2,engine_getPayloadV5,0.0,1451.0,1.0,13243.0,4087.6,218.5,362.3
submitted,2,engine_getPayloadV5,0.0,1451.0,8.0,13464.0,24844.3,243.5,522.4
submitted,2,engine_getPayloadV5,7200.0,15859.0,1.0,56447.0,3434.8,279.6,375.1
submitted,2,engine_getPayloadV5,7200.0,15859.0,8.0,56603.0,19337.9,288.2,1311.3
submitted,2,engine_getPayloadV5,8200.0,17859.0,1.0,62492.0,3566.2,269.4,340.8
submitted,2,engine_getPayloadV5,8200.0,17859.0,8.0,62617.0,18369.0,304.0,1717.0
submitted,2,engine_getPayloadV5,131072.0,263607.0,1.0,804599.0,1218.7,696.9,1350.1
submitted,2,engine_getPayloadV5,131072.0,263607.0,8.0,805988.0,3376.1,1526.1,6671.3
submitted,2,engine_getPayloadV6,0.0,1492.0,1.0,13342.0,4525.3,205.5,288.2
submitted,2,engine_getPayloadV6,0.0,1492.0,8.0,13452.0,28349.9,228.6,309.4
submitted,2,engine_getPayloadV6,7200.0,15900.0,1.0,56565.0,4065.4,236.1,320.7
submitted,2,engine_getPayloadV6,7200.0,15900.0,8.0,56699.0,19459.8,291.3,1211.1
submitted,2,engine_getPayloadV6,8200.0,17900.0,1.0,62576.0,3754.9,250.4,340.0
submitted,2,engine_getPayloadV6,8200.0,17900.0,8.0,62700.0,19321.6,295.1,1258.6
submitted,2,engine_getPayloadV6,131072.0,263648.0,1.0,804710.0,1314.5,685.5,1233.7
submitted,2,engine_getPayloadV6,131072.0,263648.0,8.0,805059.0,4863.1,1164.8,3839.3
submitted,2,engine_getBlobsV2,0.0,36.0,1.0,8865.0,4396.0,220.0,295.2
submitted,2,engine_getBlobsV2,0.0,36.0,8.0,8973.0,30306.3,213.7,343.8
submitted,2,engine_getBlobsV2,131072.0,262205.0,1.0,799887.0,1312.3,692.6,1127.4
submitted,2,engine_getBlobsV2,131072.0,262205.0,8.0,800264.0,5179.8,1069.9,3703.1
submitted,2,engine_getPayloadBodiesByHashV1,0.0,140.0,1.0,9986.0,4749.5,204.1,260.7
submitted,2,engine_getPayloadBodiesByHashV1,0.0,140.0,8.0,10094.0,28569.3,222.7,334.3
submitted,2,engine_getPayloadBodiesByHashV1,7200.0,14548.0,1.0,53215.0,3974.9,239.9,314.0
submitted,2,engine_getPayloadBodiesByHashV1,7200.0,14548.0,8.0,53345.0,20348.3,283.5,1157.5
submitted,2,engine_getPayloadBodiesByHashV1,8200.0,16548.0,1.0,59227.0,3701.8,257.7,340.0
submitted,2,engine_getPayloadBodiesByHashV1,8200.0,16548.0,8.0,59352.0,18256.7,316.2,1256.4
submitted,2,engine_getPayloadBodiesByHashV1,131072.0,262296.0,1.0,800960.0,1293.8,706.8,1121.4
submitted,2,engine_getPayloadBodiesByHashV1,131072.0,262296.0,8.0,801358.0,3452.3,1377.6,6549.4
revised,1,engine_getPayloadV5,0.0,1451.0,1.0,12791.0,3955.3,236.9,323.4
revised,1,engine_getPayloadV5,0.0,1451.0,8.0,12935.0,27887.7,230.4,338.5
revised,1,engine_getPayloadV5,7200.0,15859.0,1.0,56038.0,3700.3,260.0,335.7
revised,1,engine_getPayloadV5,7200.0,15859.0,8.0,56179.0,19269.7,285.4,1341.0
revised,1,engine_getPayloadV5,8200.0,17859.0,1.0,62025.0,3741.6,253.9,323.2
revised,1,engine_getPayloadV5,8200.0,17859.0,8.0,62221.0,17151.5,308.0,1465.4
revised,1,engine_getPayloadV5,131072.0,263607.0,1.0,804297.0,1191.9,726.7,1465.1
revised,1,engine_getPayloadV5,131072.0,263607.0,8.0,805386.0,4350.5,1313.5,4298.3
revised,1,engine_getPayloadV6,0.0,1492.0,1.0,12912.0,3831.2,247.1,340.3
revised,1,engine_getPayloadV6,0.0,1492.0,8.0,13020.0,27230.9,229.1,374.3
revised,1,engine_getPayloadV6,7200.0,15900.0,1.0,56157.0,3904.2,236.8,326.2
revised,1,engine_getPayloadV6,7200.0,15900.0,8.0,56281.0,20342.4,284.3,885.8
revised,1,engine_getPayloadV6,8200.0,17900.0,1.0,62145.0,3325.9,279.4,389.2
revised,1,engine_getPayloadV6,8200.0,17900.0,8.0,62268.0,18304.0,295.6,1585.2
revised,1,engine_getPayloadV6,131072.0,263648.0,1.0,804004.0,1078.6,845.1,1401.5
revised,1,engine_getPayloadV6,131072.0,263648.0,8.0,804405.0,4770.2,1162.4,3955.3
revised,1,engine_getBlobsV2,0.0,36.0,1.0,8433.0,5179.2,186.9,250.2
revised,1,engine_getBlobsV2,0.0,36.0,8.0,8541.0,30993.1,204.0,298.4
revised,1,engine_getBlobsV2,131072.0,262205.0,1.0,799361.0,1125.3,807.3,1350.1
revised,1,engine_getBlobsV2,131072.0,262205.0,8.0,799673.0,4743.4,1158.1,4320.5
revised,1,engine_getPayloadBodiesByHashV1,0.0,140.0,1.0,9554.0,4607.5,213.5,271.9
revised,1,engine_getPayloadBodiesByHashV1,0.0,140.0,8.0,9665.0,28311.4,217.8,370.1
revised,1,engine_getPayloadBodiesByHashV1,7200.0,14548.0,1.0,52806.0,3769.6,252.8,341.3
revised,1,engine_getPayloadBodiesByHashV1,7200.0,14548.0,8.0,52929.0,19948.4,274.4,1289.4
revised,1,engine_getPayloadBodiesByHashV1,8200.0,16548.0,1.0,58793.0,4021.1,236.7,303.0
revised,1,engine_getPayloadBodiesByHashV1,8200.0,16548.0,8.0,58921.0,18141.2,286.7,1790.0
revised,1,engine_getPayloadBodiesByHashV1,131072.0,262296.0,1.0,800268.0,1355.4,675.7,897.1
revised,1,engine_getPayloadBodiesByHashV1,131072.0,262296.0,8.0,800594.0,4708.9,1194.6,4151.6
revised,2,engine_getPayloadV5,0.0,1451.0,1.0,12789.0,4423.4,213.3,276.2
revised,2,engine_getPayloadV5,0.0,1451.0,8.0,12926.0,28041.3,232.2,368.2
revised,2,engine_getPayloadV5,7200.0,15859.0,1.0,56037.0,4116.3,236.1,312.3
revised,2,engine_getPayloadV5,7200.0,15859.0,8.0,56175.0,20303.6,285.2,1037.2
revised,2,engine_getPayloadV5,8200.0,17859.0,1.0,62075.0,2174.2,427.6,595.4
revised,2,engine_getPayloadV5,8200.0,17859.0,8.0,62230.0,10631.1,405.9,2776.5
revised,2,engine_getPayloadV5,131072.0,263607.0,1.0,804224.0,1261.8,697.2,1303.7
revised,2,engine_getPayloadV5,131072.0,263607.0,8.0,805166.0,4461.5,1314.3,4088.4
revised,2,engine_getPayloadV6,0.0,1492.0,1.0,12910.0,4022.5,237.0,313.2
revised,2,engine_getPayloadV6,0.0,1492.0,8.0,13021.0,27005.1,234.3,365.2
revised,2,engine_getPayloadV6,7200.0,15900.0,1.0,56157.0,4098.5,230.8,310.3
revised,2,engine_getPayloadV6,7200.0,15900.0,8.0,56283.0,20521.4,283.1,945.4
revised,2,engine_getPayloadV6,8200.0,17900.0,1.0,62143.0,3699.2,256.8,328.3
revised,2,engine_getPayloadV6,8200.0,17900.0,8.0,62268.0,18729.7,297.3,1471.8
revised,2,engine_getPayloadV6,131072.0,263648.0,1.0,804130.0,1187.8,737.2,1283.6
revised,2,engine_getPayloadV6,131072.0,263648.0,8.0,804488.0,4993.4,1162.2,3583.8
revised,2,engine_getBlobsV2,0.0,36.0,1.0,8433.0,5088.4,184.9,257.5
revised,2,engine_getBlobsV2,0.0,36.0,8.0,8542.0,32148.6,199.9,311.0
revised,2,engine_getBlobsV2,131072.0,262205.0,1.0,799398.0,1288.9,670.3,1230.5
revised,2,engine_getBlobsV2,131072.0,262205.0,8.0,799699.0,4750.2,1191.7,4097.4
revised,2,engine_getPayloadBodiesByHashV1,0.0,140.0,1.0,9555.0,4046.2,238.4,323.5
revised,2,engine_getPayloadBodiesByHashV1,0.0,140.0,8.0,9663.0,28922.3,217.0,278.0
revised,2,engine_getPayloadBodiesByHashV1,7200.0,14548.0,1.0,52800.0,2260.3,375.0,631.0
revised,2,engine_getPayloadBodiesByHashV1,7200.0,14548.0,8.0,52935.0,18550.1,292.4,1090.7
revised,2,engine_getPayloadBodiesByHashV1,8200.0,16548.0,1.0,58793.0,3621.9,261.4,361.3
revised,2,engine_getPayloadBodiesByHashV1,8200.0,16548.0,8.0,58925.0,17788.0,299.0,1655.6
revised,2,engine_getPayloadBodiesByHashV1,131072.0,262296.0,1.0,800440.0,1266.2,692.8,1260.3
revised,2,engine_getPayloadBodiesByHashV1,131072.0,262296.0,8.0,800885.0,4787.0,1199.2,3690.3
